year,mode,sd1,sd2
2019,2.271,0.05758236750145248,0.14962485388204996
2020,2.811,0.16937648410460837,0.44710667907124757
2021,1.803,0.171084523087609,0.4475466894254568
2022,1.569,0.22602275485951787,0.598
2023,1.12,0.21505279914946085,0.5613042846798874
2024,0.944,0.25814080695962244,0.675280624310092
2025,0.708,0.23907855932138597,0.6282417902651599
2026,0.55,0.23006548198782656,0.6031936005007342
2027,0.431,0.25943191767488216,0.6832723550028285
2028,0.334,0.24471131577058766,0.6519233456342823
2029,0.232,0.27153369809120315,0.7151451179184122
2030,0.17,0.2627581736086722,0.6858189675490173
2031,0.122,0.2518683049146815,0.6633518781805885
2032,0.041,0.2732810302417117,0.7148865260291588
2033,0.01,0.264121227676814,0.6924821268906455
2034,-0.017,0.256333161211885,0.6766480544872898
2035,-0.04,0.24938530941662737,0.6613239732463669
2036,-0.101,0.2689702692502057,0.698905567475365
2037,-0.116,0.25852769953831145,0.684
2038,-0.13,0.25323619691618227,0.67
2039,-0.142,0.25194038055070106,0.6620396080958806
2040,-0.191,0.26313846637680227,0.6946121621285453
2041,-0.199,0.26026273546378725,0.6839087843392879
2042,-0.207,0.25474805480821916,0.674
2043,-0.214,0.25172433902414537,0.666
