code,name,variant,sex,age,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043
E08000031,Wolverhampton,principal,males,all,130125,130814,131437,132018,132551,133045,133492,133913,134339,134752,135170,135582,135998,136414,136836,137268,137715,138168,138634,139109,139598,140090,140585,141080,141576,142072
E08000031,Wolverhampton,principal,males,0,1750,1649,1653,1640,1626,1617,1614,1612,1610,1613,1616,1617,1625,1636,1650,1666,1682,1699,1716,1734,1752,1768,1781,1792,1800,1805
E08000031,Wolverhampton,principal,males,1,1726,1764,1663,1667,1654,1640,1630,1627,1625,1624,1627,1630,1631,1639,1650,1663,1679,1696,1712,1729,1748,1765,1782,1795,1805,1813
E08000031,Wolverhampton,principal,males,2,1862,1757,1789,1689,1692,1679,1664,1654,1652,1650,1649,1651,1655,1656,1664,1674,1688,1704,1720,1736,1754,1772,1790,1807,1820,1830
E08000031,Wolverhampton,principal,males,3,1849,1878,1776,1804,1704,1707,1694,1679,1669,1667,1665,1665,1667,1670,1671,1679,1690,1703,1719,1735,1752,1769,1787,1805,1822,1835
E08000031,Wolverhampton,principal,males,4,1942,1863,1891,1791,1816,1716,1719,1706,1691,1682,1680,1678,1678,1680,1683,1685,1692,1703,1716,1732,1748,1764,1782,1800,1818,1834
E08000031,Wolverhampton,principal,males,5,1923,1945,1868,1894,1798,1820,1720,1723,1710,1696,1687,1684,1683,1683,1685,1688,1689,1697,1707,1721,1736,1752,1768,1786,1804,1822
E08000031,Wolverhampton,principal,males,6,1917,1922,1940,1865,1891,1797,1817,1718,1721,1708,1694,1685,1683,1682,1682,1684,1687,1688,1696,1706,1719,1735,1750,1766,1784,1802
E08000031,Wolverhampton,principal,males,7,1887,1921,1924,1940,1866,1892,1800,1818,1720,1723,1710,1696,1688,1686,1685,1684,1686,1689,1691,1698,1708,1721,1737,1752,1768,1786
E08000031,Wolverhampton,principal,males,8,1889,1893,1927,1930,1942,1871,1896,1806,1822,1725,1728,1715,1702,1693,1691,1690,1690,1692,1695,1696,1704,1714,1727,1742,1758,1774
E08000031,Wolverhampton,principal,males,9,1756,1883,1887,1922,1924,1934,1865,1890,1802,1816,1720,1723,1711,1697,1689,1687,1686,1686,1688,1691,1692,1700,1710,1723,1738,1753
E08000031,Wolverhampton,principal,males,10,1848,1764,1887,1891,1927,1928,1937,1868,1893,1807,1820,1725,1728,1716,1702,1694,1692,1691,1691,1693,1696,1698,1705,1715,1728,1743
E08000031,Wolverhampton,principal,males,11,1608,1847,1764,1885,1889,1926,1927,1933,1866,1891,1807,1818,1724,1727,1715,1701,1693,1692,1691,1691,1693,1695,1697,1704,1714,1727
E08000031,Wolverhampton,principal,males,12,1634,1615,1849,1767,1885,1889,1926,1926,1932,1866,1891,1808,1819,1725,1728,1716,1703,1695,1693,1692,1692,1695,1697,1699,1706,1716
E08000031,Wolverhampton,principal,males,13,1681,1637,1619,1847,1767,1882,1887,1924,1924,1928,1864,1888,1807,1817,1723,1727,1715,1702,1694,1693,1692,1692,1694,1696,1698,1705
E08000031,Wolverhampton,principal,males,14,1503,1688,1646,1628,1852,1773,1886,1891,1929,1928,1931,1868,1893,1813,1821,1728,1732,1720,1707,1700,1698,1697,1697,1699,1702,1704
E08000031,Wolverhampton,principal,males,15,1475,1515,1696,1656,1639,1858,1780,1891,1897,1935,1935,1936,1874,1898,1820,1827,1735,1739,1727,1714,1707,1705,1704,1705,1707,1709
E08000031,Wolverhampton,principal,males,16,1445,1488,1529,1706,1669,1652,1868,1791,1900,1906,1945,1944,1944,1884,1908,1831,1837,1745,1749,1737,1724,1717,1715,1715,1715,1717
E08000031,Wolverhampton,principal,males,17,1538,1456,1498,1539,1711,1677,1661,1872,1797,1903,1911,1951,1949,1948,1889,1913,1837,1842,1750,1754,1743,1730,1722,1721,1720,1720
E08000031,Wolverhampton,principal,males,18,1540,1536,1456,1496,1537,1702,1671,1657,1860,1787,1891,1899,1939,1937,1934,1877,1901,1828,1830,1740,1745,1733,1721,1713,1712,1711
E08000031,Wolverhampton,principal,males,19,1491,1447,1440,1370,1405,1444,1585,1564,1555,1732,1669,1759,1768,1807,1803,1797,1749,1770,1705,1704,1623,1627,1617,1606,1599,1598
E08000031,Wolverhampton,principal,males,20,1524,1539,1496,1484,1416,1450,1490,1619,1607,1602,1768,1710,1794,1806,1847,1840,1831,1786,1807,1745,1740,1660,1665,1654,1643,1637
E08000031,Wolverhampton,principal,males,21,1631,1590,1602,1558,1542,1476,1508,1548,1671,1665,1664,1822,1767,1848,1862,1904,1895,1883,1842,1862,1802,1793,1714,1719,1709,1698
E08000031,Wolverhampton,principal,males,22,1678,1711,1670,1678,1633,1612,1548,1578,1620,1736,1737,1740,1892,1840,1917,1934,1978,1966,1951,1912,1933,1874,1861,1782,1788,1778
