year,sex,age,ex
1981,2,55,25.1
1981,2,56,24.3
1981,2,57,23.4
1981,2,58,22.6
1981,2,59,21.8
1981,2,60,21.0
1981,2,61,20.2
1981,2,62,19.4
1981,2,63,18.6
1981,2,64,17.8
1981,2,65,17.1
1981,2,66,16.3
1981,2,67,15.6
1981,2,68,14.9
1981,2,69,14.2
1981,2,70,13.5
1981,2,71,12.8
1981,2,72,12.1
1981,2,73,11.5
1981,2,74,10.9
1981,2,75,10.3
1981,2,76,9.7
1981,2,77,9.1
1981,2,78,8.6
1981,2,79,8.0
1981,2,80,7.5
1981,2,81,7.0
1981,2,82,6.6
1981,2,83,6.2
1981,2,84,5.8
1981,2,85,5.4
1981,2,86,5.1
1981,2,87,4.8
1981,2,88,4.5
1981,2,89,4.2
1981,2,90,4.0
1981,1,55,20.2
1981,1,56,19.4
1981,1,57,18.7
1981,1,58,17.9
1981,1,59,17.2
1981,1,60,16.5
1981,1,61,15.8
1981,1,62,15.1
1981,1,63,14.4
1981,1,64,13.7
1981,1,65,13.1
1981,1,66,12.5
1981,1,67,11.9
1981,1,68,11.3
1981,1,69,10.7
1981,1,70,10.2
1981,1,71,9.7
1981,1,72,9.2
1981,1,73,8.7
1981,1,74,8.2
1981,1,75,7.8
1981,1,76,7.3
1981,1,77,6.9
1981,1,78,6.5
1981,1,79,6.2
1981,1,80,5.8
1981,1,81,5.5
1981,1,82,5.2
1981,1,83,4.9
1981,1,84,4.6
1981,1,85,4.4
1981,1,86,4.1
1981,1,87,3.9
1981,1,88,3.7
1981,1,89,3.6
1981,1,90,3.4
1982,2,55,25.1
1982,2,56,24.3
1982,2,57,23.4
1982,2,58,22.6
1982,2,59,21.8
1982,2,60,21.0
1982,2,61,20.2
1982,2,62,19.4
1982,2,63,18.6
1982,2,64,17.9
1982,2,65,17.1
1982,2,66,16.4
1982,2,67,15.6
1982,2,68,14.9
1982,2,69,14.2
1982,2,70,13.5
1982,2,71,12.8
1982,2,72,12.2
1982,2,73,11.5
1982,2,74,10.9
1982,2,75,10.3
1982,2,76,9.7
1982,2,77,9.1
1982,2,78,8.6
1982,2,79,8.1
1982,2,80,7.6
1982,2,81,7.1
1982,2,82,6.6
1982,2,83,6.2
1982,2,84,5.8
1982,2,85,5.4
1982,2,86,5.1
1982,2,87,4.8
1982,2,88,4.4
1982,2,89,4.2
1982,2,90,3.9
1982,1,55,20.3
1982,1,56,19.5
1982,1,57,18.7
1982,1,58,18.0
1982,1,59,17.2
1982,1,60,16.5
1982,1,61,15.8
1982,1,62,15.1
1982,1,63,14.4
1982,1,64,13.8
